time,gFx,gFy,gFz,TgF
0.001628077,-0.0165,0.2283,0.9782,1.005
0.001803077,-0.0221,0.2255,0.9731,0.999
0.008869231,-0.0241,0.2224,0.9706,0.996
0.009114154,-0.0248,0.2175,0.9722,0.997
0.009221538,-0.0265,0.2134,0.9740,0.997
0.009780308,-0.0256,0.2136,0.9699,0.993
0.013135077,-0.0256,0.2155,0.9620,0.986
0.014636077,-0.0278,0.2182,0.9513,0.976
0.017255462,-0.0314,0.2206,0.9410,0.967
0.019278769,-0.0260,0.2241,0.9298,0.957
0.021915385,-0.0188,0.2274,0.9251,0.953
0.024986769,-0.0046,0.2248,0.9212,0.948
0.026485923,0.0105,0.2234,0.9205,0.947
0.029047692,0.0261,0.2180,0.9230,0.949
0.031925,0.0422,0.2104,0.9251,0.950
0.036673231,0.0494,0.2050,0.9286,0.952
0.037026154,0.0528,0.2036,0.9317,0.955
0.038760308,0.0491,0.2020,0.9323,0.955
0.041366769,0.0428,0.2033,0.9340,0.957
0.043412692,0.0342,0.2055,0.9335,0.956
0.045679385,0.0251,0.2101,0.9352,0.959
0.048294769,0.0161,0.2106,0.9371,0.961
0.050617308,0.0095,0.2136,0.9445,0.968
0.052921308,0.0019,0.2172,0.9476,0.972
0.055399692,-0.0034,0.2129,0.9528,0.976
0.057690769,-0.0090,0.2146,0.9596,0.983
0.060208615,-0.0124,0.2099,0.9659,0.989
0.062688077,-0.0129,0.2077,0.9733,0.995
0.066012692,-0.0146,0.2060,0.9796,1.001
0.067342538,-0.0190,0.2057,0.9892,1.011
0.069787692,-0.0199,0.2057,0.9957,1.017
0.072196385,-0.0209,0.2060,1.0024,1.024
0.074797538,-0.0216,0.2055,1.0114,1.032
0.077059154,-0.0227,0.2087,1.0211,1.042
0.079682846,-0.0229,0.2099,1.0270,1.049
0.082712615,-0.0241,0.2099,1.0311,1.053
0.084456077,-0.0272,0.2121,1.0373,1.059
0.086708308,-0.0263,0.2129,1.0412,1.063
0.089095077,-0.0268,0.2118,1.0434,1.065
0.093411077,-0.0185,0.2129,1.0474,1.069
0.093937846,-0.0136,0.2118,1.0463,1.068
0.096427154,-0.0087,0.2064,1.0505,1.071
0.101744692,-0.0004,0.2020,1.0534,1.073
0.102228308,0.0054,0.2018,1.0554,1.075
0.103797231,0.0051,0.1992,1.0568,1.075
0.106883154,0.0054,0.1984,1.0549,1.073
0.108305538,0.0054,0.1976,1.0519,1.070
0.110893846,0.0073,0.2006,1.0526,1.072
0.113629231,0.0063,0.1994,1.0539,1.073
0.115749308,0.0093,0.2001,1.0542,1.073
0.118289,0.0149,0.1989,1.0581,1.077
0.120636,0.0200,0.1976,1.0575,1.076
0.123371692,0.0228,0.1989,1.0581,1.077
0.125257846,0.0239,0.1955,1.0586,1.077
0.127796615,0.0251,0.1948,1.0581,1.076
0.130294538,0.0271,0.1924,1.0578,1.075
0.132774154,0.0279,0.1889,1.0524,1.070
0.134920308,0.0312,0.1901,1.0476,1.065
0.137881615,0.0342,0.1850,1.0451,1.062
0.140220308,0.0335,0.1820,1.0444,1.061
0.142184077,0.0347,0.1813,1.0451,1.061
0.144970538,0.0366,0.1794,1.0458,1.062
0.147273923,0.0361,0.1784,1.0444,1.060
0.149394846,0.0344,0.1769,1.0439,1.059
0.152228308,0.0303,0.1787,1.0429,1.058
0.154519692,0.0259,0.1840,1.0393,1.056
0.157081231,0.0239,0.1857,1.0404,1.057
0.158999769,0.0181,0.1826,1.0397,1.056
0.161643692,0.0168,0.1838,1.0390,1.055
0.165372385,0.0158,0.1838,1.0356,1.052
0.166270231,0.0188,0.1840,1.0353,1.052
0.168945308,0.0207,0.1831,1.0304,1.047
0.171575462,0.0186,0.1847,1.0278,1.044
0.173897308,0.0166,0.1871,1.0207,1.038
0.177295462,0.0122,0.1899,1.0170,1.035
0.178597,0.0090,0.1924,1.0109,1.029
0.181537923,0.0078,0.1938,1.0011,1.020
0.183190846,0.0039,0.1974,0.9987,1.018
0.186266538,0.0002,0.2031,0.9923,1.013
0.188322538,-0.0014,0.2038,0.9882,1.009
0.190549846,-0.0031,0.2055,0.9857,1.007
0.192863692,-0.0004,0.2074,0.9792,1.001
0.195844385,0.0026,0.2087,0.9750,0.997
0.199762231,0.0037,0.2087,0.9699,0.992
0.200081231,0.0105,0.2094,0.9666,0.989
0.204122154,0.0107,0.2085,0.9628,0.985
0.204990538,0.0147,0.2077,0.9591,0.981
0.207347769,0.0195,0.2080,0.9584,0.981
0.209915154,0.0251,0.2082,0.9584,0.981
0.212559692,0.0259,0.2109,0.9589,0.982
0.214794154,0.0271,0.2165,0.9545,0.979
0.216907692,0.0242,0.2216,0.9530,0.979
0.219583462,0.0225,0.2211,0.9473,0.973
0.222812,0.0183,0.2260,0.9403,0.967
0.224378154,0.0200,0.2318,0.9371,0.966
0.226884923,0.0183,0.2348,0.9368,0.966
0.229143077,0.0193,0.2336,0.9356,0.965
0.231607769,0.0232,0.2351,0.9371,0.966
0.233798538,0.0247,0.2358,0.9398,0.969
0.236490769,0.0305,0.2351,0.9459,0.975
0.239187077,0.0315,0.2341,0.9505,0.979
0.240996923,0.0330,0.2327,0.9528,0.981
0.243490231,0.0332,0.2348,0.9566,0.986
0.246077615,0.0328,0.2372,0.9610,0.990
0.248303692,0.0349,0.2390,0.9650,0.995
0.251684692,0.0384,0.2402,0.9654,0.996
0.253617,0.0417,0.2414,0.9699,1.000
0.255967385,0.0491,0.2392,0.9735,1.004
0.257921308,0.0503,0.2400,0.9776,1.008
0.260709615,0.0550,0.2400,0.9811,1.012
0.263030846,0.0574,0.2378,0.9808,1.011
0.265117,0.0579,0.2353,0.9815,1.011
0.267777923,0.0547,0.2392,0.9780,1.008
0.270964077,0.0513,0.2400,0.9720,1.003
0.273441615,0.0445,0.2448,0.9703,1.002
0.275095692,0.0424,0.2483,0.9652,0.998
0.277645923,0.0356,0.2519,0.9596,0.993
0.281223692,0.0328,0.2551,0.9517,0.986
0.282121923,0.0293,0.2558,0.9471,0.982
0.284726462,0.0288,0.2537,0.9393,0.973
0.287384923,0.0288,0.2541,0.9319,0.966
0.289350231,0.0324,0.2541,0.9298,0.964
0.291736923,0.0361,0.2558,0.9254,0.961
0.294322462,0.0359,0.2516,0.9183,0.953
0.300180308,0.0379,0.2516,0.9109,0.946
0.300440923,0.0366,0.2544,0.9073,0.943
0.301412923,0.0347,0.2488,0.9019,0.936
0.303845538,0.0364,0.2429,0.8993,0.932
0.310224385,0.0454,0.2475,0.8976,0.932
0.310842462,0.0482,0.2605,0.8997,0.938
0.311070231,0.0457,0.2632,0.8997,0.939
0.315795769,0.0410,0.2627,0.8985,0.937
0.316188,0.0386,0.2617,0.9024,0.940
0.321535769,0.0332,0.2583,0.9070,0.944
0.321910538,0.0323,0.2556,0.9102,0.946
0.326858231,0.0340,0.2563,0.9124,0.948
0.327169308,0.0533,0.2519,0.9198,0.955
0.327787769,0.0689,0.2573,0.9163,0.954
0.330515385,0.0596,0.2621,0.9068,0.946
0.332619077,0.0538,0.2681,0.9070,0.947
0.335307077,0.0482,0.2668,0.9090,0.949
0.338044692,0.0398,0.2661,0.9112,0.950
0.339864692,0.0352,0.2612,0.9130,0.950
0.342236692,0.0291,0.2585,0.9149,0.951
0.344974769,0.0271,0.2527,0.9183,0.953
0.347365538,0.0254,0.2519,0.9191,0.953
0.349874154,0.0188,0.2490,0.9166,0.950
0.352682231,0.0181,0.2485,0.9163,0.950
0.354583692,0.0158,0.2504,0.9163,0.950
0.356876077,0.0181,0.2495,0.9170,0.951
0.359406231,0.0212,0.2512,0.9144,0.949
0.362030769,0.0247,0.2485,0.9181,0.951
0.364428,0.0288,0.2541,0.9170,0.952
0.366508692,0.0368,0.2541,0.9166,0.952
0.368872077,0.0403,0.2558,0.9188,0.955
0.371626231,0.0459,0.2516,0.9225,0.957
0.373728615,0.0508,0.2546,0.9232,0.959
0.376425231,0.0545,0.2532,0.9254,0.961
0.378936308,0.0586,0.2551,0.9263,0.963
0.380792077,0.0615,0.2527,0.9295,0.965
0.383407462,0.0633,0.2504,0.9335,0.969
0.385727462,0.0626,0.2524,0.9396,0.975
0.388107769,0.0640,0.2502,0.9420,0.977
0.390384,0.0618,0.2504,0.9466,0.981
0.393030846,0.0610,0.2468,0.9517,0.985
0.396586769,0.0598,0.2475,0.9561,0.989
0.397725231,0.0577,0.2478,0.9582,0.991
0.400085231,0.0525,0.2458,0.9603,0.993
0.402572692,0.0489,0.2456,0.9640,0.996
0.404915769,0.0461,0.2429,0.9664,0.998
0.407481538,0.0449,0.2419,0.9691,1.000
0.409890154,0.0447,0.2402,0.9738,1.004
0.412295692,0.0424,0.2414,0.9771,1.007
0.414544385,0.0433,0.2380,0.9792,1.009
0.417057615,0.0417,0.2439,0.9833,1.014
0.419612615,0.0437,0.2414,0.9855,1.016
0.421992692,0.0437,0.2423,0.9857,1.016
0.424345615,0.0445,0.2434,0.9855,1.016
0.426928615,0.0447,0.2436,0.9845,1.015
0.429460923,0.0469,0.2472,0.9862,1.018
0.431775077,0.0479,0.2537,0.9852,1.018
0.434183385,0.0501,0.2539,0.9831,1.017
0.437040615,0.0564,0.2581,0.9815,1.016
0.438725,0.0628,0.2609,0.9789,1.015
0.441361538,0.0679,0.2621,0.9792,1.016
0.443765231,0.0731,0.2627,0.9776,1.015
0.446046462,0.0823,0.2619,0.9755,1.013
0.448514846,0.0889,0.2651,0.9731,1.012
0.450998462,0.0906,0.2668,0.9677,1.008
0.453573846,0.0945,0.2695,0.9613,1.003
0.456760385,0.0967,0.2702,0.9564,0.999
0.458950231,0.0975,0.2719,0.9545,0.997
0.460923077,0.0992,0.2735,0.9528,0.996
0.463052077,0.0982,0.2737,0.9535,0.997
0.465257538,0.0978,0.2754,0.9513,0.995
0.467979385,0.1041,0.2746,0.9491,0.993
0.470415769,0.1018,0.2746,0.9508,0.995
0.472515385,0.1024,0.2724,0.9503,0.994
0.475148615,0.1029,0.2719,0.9520,0.995
0.477381615,0.0982,0.2742,0.9493,0.993
0.479792,0.0948,0.2717,0.9493,0.992
0.482189538,0.0931,0.2739,0.9476,0.991
0.484764923,0.0885,0.2742,0.9440,0.987
0.487175462,0.0840,0.2768,0.9410,0.984
0.489406538,0.0813,0.2768,0.9428,0.986
0.492735769,0.0801,0.2773,0.9428,0.986
0.498275385,0.0808,0.2756,0.9430,0.986
0.498607385,0.0792,0.2744,0.9461,0.988
0.499052923,0.0811,0.2726,0.9476,0.989
0.501807077,0.0799,0.2737,0.9513,0.993
0.505494231,0.0804,0.2756,0.9530,0.995
0.506396615,0.0829,0.2735,0.9545,0.996
0.508892385,0.0816,0.2735,0.9522,0.994
0.511273923,0.0825,0.2746,0.9461,0.989
0.513583462,0.0806,0.2781,0.9384,0.982
0.516590846,0.0796,0.2770,0.9312,0.975
0.519347769,0.0804,0.2781,0.9261,0.970
0.521295077,0.0750,0.2786,0.9227,0.967
0.523588077,0.0782,0.2793,0.9232,0.968
0.525770462,0.0799,0.2781,0.9239,0.968
0.528084923,0.0808,0.2763,0.9317,0.975
0.530486154,0.0816,0.2739,0.9371,0.980
0.532929923,0.0840,0.2707,0.9473,0.989
0.535880308,0.0889,0.2705,0.9594,1.001
0.537668077,0.0978,0.2658,0.9620,1.003
0.540093846,0.1050,0.2600,0.9679,1.008
0.542793846,0.1143,0.2524,0.9755,1.014
0.544946538,0.1195,0.2509,0.9831,1.022
0.547489846,0.1209,0.2429,0.9874,1.024
0.549964692,0.1207,0.2402,0.9852,1.021
0.553274769,0.1183,0.2407,0.9869,1.023
0.55478,0.1155,0.2411,0.9880,1.024
0.557696923,0.1118,0.2383,0.9874,1.022
0.559716923,0.1102,0.2402,0.9913,1.026
0.561923154,0.1087,0.2370,0.9960,1.030
0.564328077,0.1163,0.2341,1.0009,1.034
0.566745308,0.1258,0.2318,1.0097,1.044
0.569269923,0.1385,0.2243,1.0195,1.053
0.571429,0.1502,0.2202,1.0319,1.066
0.573858154,0.1607,0.2143,1.0404,1.074
0.576469538,0.1656,0.2129,1.0497,1.084
0.57864,0.1705,0.2101,1.0578,1.092
0.581017,0.1700,0.2092,1.0656,1.099
0.584011077,0.1686,0.2101,1.0710,1.104
0.586327154,0.1663,0.2104,1.0805,1.113
0.588596692,0.1622,0.2123,1.0879,1.120
0.591129538,0.1570,0.2157,1.0933,1.125
0.593414154,0.1468,0.2194,1.0935,1.125
0.597965846,0.1395,0.2227,1.0961,1.127
0.598266769,0.1314,0.2292,1.0922,1.124
0.600862154,0.1195,0.2274,1.0898,1.120
0.605990846,0.1067,0.2353,1.0832,1.114
0.606334769,0.0945,0.2388,1.0747,1.105
0.607852077,0.0829,0.2456,1.0644,1.095
0.611005,0.0687,0.2485,1.0517,1.083
0.612330769,0.0554,0.2521,1.0397,1.071
0.614747769,0.0476,0.2565,1.0253,1.058
0.617675769,0.0386,0.2573,1.0136,1.046
0.619881,0.0328,0.2614,1.0026,1.037
0.622518846,0.0239,0.2651,0.9929,1.028
0.624536923,0.0179,0.2712,0.9823,1.019
0.627063154,0.0117,0.2735,0.9752,1.013
0.629346769,0.0075,0.2768,0.9647,1.004
0.631727154,0.0044,0.2819,0.9566,0.997
0.634584615,0.0005,0.2822,0.9473,0.988
0.637638846,-0.0048,0.2859,0.9408,0.983
0.639092923,-0.0070,0.2879,0.9356,0.979
0.642112923,-0.0080,0.2879,0.9295,0.973
0.644200923,-0.0102,0.2886,0.9235,0.968
0.646175077,-0.0143,0.2893,0.9132,0.958
0.649164077,-0.0188,0.2905,0.9051,0.951
0.652362846,-0.0207,0.2925,0.8941,0.941
0.653528923,-0.0241,0.2915,0.8858,0.933
0.655968615,-0.0265,0.2915,0.8746,0.922
0.659178769,-0.0272,0.2891,0.8694,0.917
0.661864,-0.0280,0.2866,0.8631,0.910
0.663064923,-0.0283,0.2822,0.8623,0.908
0.665547462,-0.0246,0.2781,0.8601,0.904
0.668948308,-0.0209,0.2800,0.8597,0.904
0.670687077,-0.0136,0.2754,0.8631,0.906
0.672667462,-0.0036,0.2698,0.8692,0.910
0.675309,0.0073,0.2605,0.8797,0.917
0.677571385,0.0274,0.2537,0.8944,0.930
0.679867154,0.0401,0.2475,0.9095,0.943
0.682572615,0.0540,0.2423,0.9225,0.955
0.685238154,0.0650,0.2370,0.9354,0.967
0.687086846,0.0733,0.2290,0.9533,0.983
0.689810154,0.0764,0.2283,0.9638,0.993
0.696079077,0.0762,0.2278,0.9696,0.999
0.696356,0.0708,0.2299,0.9750,1.004
0.696913308,0.0608,0.2295,0.9769,1.005
0.699618231,0.0489,0.2314,0.9752,1.003
0.703898462,0.0389,0.2297,0.9764,1.004
0.704051385,0.0281,0.2290,0.9757,1.003
0.707189231,0.0200,0.2287,0.9726,0.999
0.709451462,0.0132,0.2285,0.9740,1.001
0.711321846,0.0081,0.2258,0.9740,1.000
0.713958231,0.0049,0.2238,0.9771,1.002
0.716097846,0.0078,0.2185,0.9815,1.006
0.718603385,0.0090,0.2106,0.9894,1.012
0.720921846,0.0119,0.2016,0.9987,1.019
0.723473538,0.0119,0.1969,1.0082,1.027
0.726013308,0.0149,0.1891,1.0195,1.037
0.728137308,0.0181,0.1847,1.0297,1.046
0.730869538,0.0168,0.1801,1.0404,1.056
0.733250769,0.0158,0.1774,1.0495,1.065
0.735438154,0.0154,0.1757,1.0558,1.070
0.738677308,0.0114,0.1725,1.0619,1.076
0.740594231,0.0086,0.1708,1.0647,1.078
0.742760385,0.0039,0.1735,1.0663,1.080
0.745230769,0.0021,0.1750,1.0670,1.081
0.748452923,-0.0011,0.1789,1.0656,1.081
0.749966462,-0.0034,0.1820,1.0630,1.078
0.752453308,-0.0099,0.1887,1.0632,1.080
0.754828923,-0.0114,0.1931,1.0617,1.079
0.757588615,-0.0148,0.1955,1.0642,1.082
0.759937538,-0.0214,0.2038,1.0624,1.082
0.762056,-0.0256,0.2092,1.0607,1.081
0.764666154,-0.0278,0.2148,1.0573,1.079
0.768023769,-0.0283,0.2204,1.0500,1.073
0.769361538,-0.0253,0.2253,1.0493,1.073
0.772289615,-0.0253,0.2274,1.0468,1.072
0.774171077,-0.0195,0.2331,1.0476,1.073
0.776506769,-0.0095,0.2355,1.0477,1.074
0.778836385,-0.0014,0.2348,1.0456,1.072
0.781765615,0.0090,0.2378,1.0463,1.073
0.784185538,0.0219,0.2383,1.0456,1.073
0.786067077,0.0330,0.2372,1.0453,1.072
0.788604077,0.0386,0.2400,1.0439,1.072
0.791030154,0.0410,0.2400,1.0414,1.070
0.796160077,0.0417,0.2411,1.0363,1.065
0.796493538,0.0410,0.2423,1.0288,1.058
0.798573231,0.0366,0.2490,1.0223,1.053
0.802803154,0.0310,0.2556,1.0131,1.045
0.803152308,0.0276,0.2617,1.0055,1.039
0.805420385,0.0181,0.2681,0.9953,1.031
0.808050769,0.0090,0.2768,0.9864,1.025
0.810164,0.0014,0.2835,0.9811,1.021
0.812685231,-0.0070,0.2896,0.9706,1.013
0.815422154,-0.0131,0.2993,0.9574,1.003
0.817473308,-0.0207,0.3079,0.9445,0.994
0.819781923,-0.0239,0.3140,0.9300,0.982
0.822371385,-0.0278,0.3176,0.9146,0.969
0.825528385,-0.0304,0.3228,0.9019,0.958
0.827427154,-0.0334,0.3255,0.8914,0.950
0.829962154,-0.0337,0.3303,0.8778,0.938
0.833149538,-0.0339,0.3308,0.8685,0.930
0.834285923,-0.0302,0.3301,0.8587,0.920
0.836892,-0.0300,0.3313,0.8526,0.915
0.839713538,-0.0321,0.3301,0.8457,0.908
0.842577231,-0.0272,0.3315,0.8420,0.905
0.844382154,-0.0229,0.3311,0.8369,0.900
0.846698846,-0.0185,0.3294,0.8303,0.893
0.849076923,-0.0163,0.3271,0.8269,0.889
0.851540692,-0.0121,0.3247,0.8182,0.880
0.853623385,-0.0095,0.3250,0.8130,0.876
0.856612,-0.0097,0.3220,0.8089,0.871
0.858617846,-0.0109,0.3210,0.8054,0.867
0.860842538,-0.0104,0.3201,0.8045,0.866
0.863552077,-0.0109,0.3166,0.8030,0.863
0.866513308,-0.0087,0.3157,0.8012,0.861
0.86818,-0.0053,0.3122,0.8028,0.861
0.870504692,-0.0067,0.3110,0.8028,0.861
0.873273538,-0.0102,0.3069,0.8093,0.866
0.875553,-0.0102,0.3089,0.8120,0.869
0.877669231,-0.0139,0.3052,0.8157,0.871
0.880721308,-0.0148,0.3061,0.8210,0.876
0.883184,-0.0170,0.3059,0.8243,0.879
0.884961846,-0.0211,0.3059,0.8274,0.882
0.887344385,-0.0260,0.3037,0.8355,0.889
0.890014769,-0.0332,0.3077,0.8396,0.895
0.892455692,-0.0365,0.3079,0.8494,0.904
0.894842154,-0.0427,0.3089,0.8553,0.910
0.897106231,-0.0461,0.3089,0.8587,0.914
0.902433615,-0.0522,0.3117,0.8646,0.921
0.902886154,-0.0544,0.3142,0.8709,0.927
0.904426231,-0.0607,0.3128,0.8751,0.931
0.91008,-0.0612,0.3135,0.8816,0.938
0.910639462,-0.0656,0.3147,0.8851,0.942
0.911344308,-0.0661,0.3179,0.8880,0.945
0.914655769,-0.0686,0.3164,0.8907,0.948
0.916479385,-0.0707,0.3133,0.8963,0.952
0.918711769,-0.0684,0.3140,0.9005,0.956
0.921064692,-0.0696,0.3135,0.9065,0.962
0.923958538,-0.0681,0.3164,0.9100,0.966
0.925910462,-0.0644,0.3152,0.9154,0.970
0.928263154,-0.0635,0.3147,0.9214,0.976
0.930909846,-0.0598,0.3105,0.9271,0.980
0.933084385,-0.0583,0.3108,0.9324,0.985
0.935942231,-0.0542,0.3082,0.9356,0.987
0.938284615,-0.0486,0.3061,0.9400,0.990
0.940500385,-0.0461,0.3005,0.9412,0.989
0.942792615,-0.0437,0.3017,0.9405,0.989
0.945430769,-0.0397,0.2981,0.9433,0.990
0.947793231,-0.0393,0.2947,0.9459,0.992
0.950164,-0.0405,0.2908,0.9486,0.993
0.952642154,-0.0381,0.2903,0.9530,0.997
0.955318462,-0.0385,0.2888,0.9577,1.001
0.957649538,-0.0385,0.2884,0.9630,1.006
0.959604385,-0.0393,0.2884,0.9715,1.014
0.962665308,-0.0395,0.2844,0.9789,1.020
0.964790846,-0.0358,0.2851,0.9833,1.024
0.966959077,-0.0339,0.2849,0.9867,1.028
0.969279692,-0.0358,0.2837,0.9931,1.033
0.971904615,-0.0332,0.2839,0.9920,1.032
0.975036077,-0.0361,0.2812,0.9950,1.035
0.976841308,-0.0385,0.2803,0.9972,1.037
0.979304077,-0.0370,0.2783,1.0006,1.039
0.982333,-0.0419,0.2783,1.0024,1.041
0.983776923,-0.0453,0.2791,1.0038,1.043
0.986207769,-0.0478,0.2810,1.0062,1.046
0.989029231,-0.0546,0.2800,1.0074,1.047
0.991063462,-0.0561,0.2775,1.0104,1.049
0.993442231,-0.0610,0.2817,1.0104,1.051
0.995945615,-0.0612,0.2815,1.0153,1.055
1.001543769,-0.0607,0.2793,1.0180,1.057
1.001881308,-0.0615,0.2795,1.0190,1.058
1.003825308,-0.0600,0.2791,1.0234,1.062
1.00602,-0.0591,0.2800,1.0243,1.064
1.009113,-0.0566,0.2800,1.0246,1.064
1.010460308,-0.0591,0.2746,1.0246,1.062
1.012854462,-0.0570,0.2795,1.0234,1.062
1.015224308,-0.0566,0.2812,1.0211,1.061
1.017473615,-0.0568,0.2824,1.0195,1.059
1.020294462,-0.0593,0.2830,1.0190,1.059
1.024256923,-0.0617,0.2830,1.0167,1.057
1.025688077,-0.0605,0.2868,1.0158,1.057
1.027294538,-0.0591,0.2886,1.0141,1.056
1.029753615,-0.0598,0.2912,1.0138,1.056
1.032001308,-0.0576,0.2925,1.0097,1.053
1.035130769,-0.0558,0.2925,1.0102,1.053
1.037153615,-0.0549,0.2954,1.0094,1.053
1.039621,-0.0519,0.2935,1.0090,1.052
1.041614154,-0.0490,0.2940,1.0082,1.051
1.044545615,-0.0456,0.2940,1.0062,1.049
1.046977615,-0.0427,0.2971,1.0055,1.049
1.049041308,-0.0405,0.2917,1.0065,1.049
1.051534846,-0.0365,0.2900,1.0041,1.046
1.054002231,-0.0353,0.2908,1.0036,1.045
1.056245846,-0.0302,0.2908,1.0055,1.047
1.058533538,-0.0258,0.2854,1.0069,1.047
1.061270846,-0.0244,0.2851,1.0087,1.048
1.064619692,-0.0204,0.2824,1.0136,1.052
1.066604615,-0.0146,0.2761,1.0146,1.052
1.068304308,-0.0121,0.2751,1.0199,1.056
1.071032385,-0.0097,0.2724,1.0229,1.059
1.073206154,-0.0090,0.2690,1.0223,1.057
1.075384923,-0.0085,0.2646,1.0239,1.058
1.078039154,-0.0099,0.2651,1.0260,1.060
1.081354538,-0.0134,0.2607,1.0248,1.058
1.082685308,-0.0114,0.2556,1.0251,1.057
1.086334769,-0.0153,0.2563,1.0260,1.058
1.087961923,-0.0188,0.2563,1.0278,1.059
1.090341231,-0.0199,0.2519,1.0275,1.058
1.092238769,-0.0202,0.2537,1.0302,1.061
1.094881,-0.0234,0.2514,1.0334,1.064
1.100164077,-0.0268,0.2509,1.0351,1.065
1.100467385,-0.0300,0.2534,1.0353,1.066
1.101965846,-0.0363,0.2521,1.0346,1.065
1.106736615,-0.0437,0.2516,1.0327,1.064
1.107140077,-0.0451,0.2509,1.0329,1.064
1.109180308,-0.0502,0.2519,1.0302,1.062
1.111884077,-0.0563,0.2551,1.0258,1.059
1.114099769,-0.0595,0.2583,1.0234,1.057
1.116358154,-0.0626,0.2561,1.0207,1.054
1.118954231,-0.0654,0.2578,1.0199,1.054
1.121219077,-0.0649,0.2578,1.0180,1.052
1.123846231,-0.0691,0.2597,1.0150,1.050
1.126127462,-0.0642,0.2602,1.0123,1.047
1.128609308,-0.0647,0.2609,1.0104,1.046
1.131232077,-0.0637,0.2600,1.0053,1.040
1.133336308,-0.0637,0.2595,1.0036,1.039
1.135798846,-0.0647,0.2581,0.9994,1.034
1.138967462,-0.0642,0.2576,0.9977,1.032
1.140474231,-0.0626,0.2563,0.9943,1.029
1.142871385,-0.0626,0.2570,0.9923,1.027
1.145603077,-0.0630,0.2568,0.9906,1.025
1.147860692,-0.0593,0.2583,0.9894,1.024
1.150476923,-0.0581,0.2563,0.9911,1.025
1.152867077,-0.0549,0.2537,0.9913,1.025
1.154992,-0.0551,0.2573,0.9896,1.024
1.157318769,-0.0493,0.2561,0.9923,1.026
1.159820077,-0.0468,0.2516,0.9926,1.025
1.163256385,-0.0478,0.2549,0.9938,1.027
1.164688308,-0.0481,0.2565,0.9926,1.026
1.167142231,-0.0483,0.2585,0.9941,1.028
1.169929,-0.0478,0.2607,0.9985,1.033
1.172174846,-0.0519,0.2600,1.0029,1.037
1.174261231,-0.0561,0.2605,1.0114,1.046
1.176979769,-0.0568,0.2630,1.0231,1.058
1.180207154,-0.0607,0.2649,1.0327,1.068
1.181491462,-0.0644,0.2651,1.0441,1.079
1.185567385,-0.0668,0.2639,1.0581,1.093
1.186987077,-0.0681,0.2649,1.0691,1.104
1.189113846,-0.0668,0.2656,1.0822,1.116
1.191698154,-0.0679,0.2670,1.0924,1.127
1.193601615,-0.0656,0.2690,1.0984,1.133
1.199520308,-0.0579,0.2649,1.1050,1.138
1.199988077,-0.0483,0.2609,1.1110,1.142
1.200768,-0.0372,0.2578,1.1179,1.148
1.204042846,-0.0209,0.2519,1.1233,1.151
1.206910539,-0.0092,0.2448,1.1311,1.157
1.208097846,0.0021,0.2432,1.1389,1.165
1.210371385,0.0124,0.2318,1.1460,1.169
1.213084308,0.0228,0.2236,1.1494,1.171
1.215388692,0.0323,0.2182,1.1562,1.177
1.218035385,0.0428,0.2109,1.1592,1.179
1.221234462,0.0464,0.2080,1.1585,1.178
1.222815154,0.0505,0.2077,1.1570,1.177
1.224917846,0.0513,0.2060,1.1529,1.172
1.227591385,0.0525,0.2055,1.1462,1.166
1.230134846,0.0494,0.2053,1.1397,1.159
1.232633923,0.0422,0.2092,1.1280,1.148
1.235169539,0.0386,0.2143,1.1187,1.140
1.237970846,0.0328,0.2218,1.1096,1.132
1.239415692,0.0293,0.2273,1.1040,1.128
1.242235385,0.0254,0.2383,1.0969,1.123
1.244373308,0.0195,0.2465,1.0917,1.119
1.246695154,0.0149,0.2556,1.0824,1.112
1.249193923,0.0119,0.2661,1.0766,1.109
1.251705615,0.0090,0.2739,1.0676,1.102
1.254346539,0.0088,0.2835,1.0602,1.097
1.256214846,0.0107,0.2908,1.0526,1.092
1.258653231,0.0149,0.2964,1.0451,1.086
1.261378769,0.0161,0.3001,1.0376,1.080
1.263808615,0.0203,0.3023,1.0304,1.074
1.265925231,0.0230,0.3037,1.0248,1.069
1.268650462,0.0244,0.3030,1.0187,1.063
1.270928308,0.0312,0.3003,1.0153,1.059
1.273103385,0.0344,0.2981,1.0034,1.047
1.275926769,0.0349,0.2910,0.9889,1.031
1.278293308,0.0430,0.2856,0.9731,1.015
1.280499385,0.0503,0.2812,0.9574,0.999
1.282910462,0.0596,0.2773,0.9412,0.983
1.285660692,0.0679,0.2746,0.9347,0.977
1.287903462,0.0750,0.2724,0.9310,0.973
1.290379385,0.0820,0.2751,0.9310,0.974
1.292629231,0.0816,0.2786,0.9330,0.977
1.295195462,0.0862,0.2803,0.9281,0.973
1.299805846,0.0869,0.2837,0.9227,0.969
1.300064615,0.0877,0.2837,0.9191,0.966
1.30232,0.0904,0.2835,0.9142,0.961
1.305893,0.0941,0.2851,0.9088,0.957
1.306773846,0.0967,0.2859,0.9051,0.954
1.309291385,0.0999,0.2847,0.9058,0.955
1.311939154,0.1004,0.2830,0.9063,0.955
1.314191077,0.1013,0.2819,0.9026,0.951
1.316717615,0.1024,0.2810,0.9002,0.949
1.319189615,0.1055,0.2726,0.8946,0.941
1.321382231,0.1099,0.2678,0.8870,0.933
1.324007077,0.1170,0.2676,0.8799,0.927
